pedido_id,fecha,cliente_id,producto_id,nombre_producto,categoria,unidades,precio_unitario,importe_total
P0096,2024-06-05,C081,F001,Insulina Lantus,hormona,39,22.0,858.0
P0097,2024-02-08,C055,F004,Remdesivir,antiviral,1,400.0,400.0
P0098,2021-08-02,C047,F001,Insulina Lantus,hormona,55,22.0,1210.0
P0099,2022-07-18,C167,F003,Ventolin,broncodilatador,20,4.75,95.0
P0100,2022-06-22,C166,F004,Remdesivir,antiviral,90,400.0,36000.0
P0101,2023-12-10,C032,F003,Ventolin,broncodilatador,54,4.75,256.5
P0102,2023-06-25,C133,F004,Remdesivir,antiviral,46,400.0,18400.0
P0103,2023-09-11,C146,F003,Ventolin,broncodilatador,94,4.75,446.5
P0104,2022-01-09,C131,F002,Amoxicilina,antibiótico,20,0.3,6.0
P0105,2022-02-14,C088,F004,Remdesivir,antiviral,115,400.0,46000.0
P0106,2024-06-04,C056,F003,Ventolin,broncodilatador,17,4.75,80.75
P0107,2022-11-08,C137,F001,Insulina Lantus,hormona,20,22.0,440.0
P0108,2022-02-26,C106,F003,Ventolin,broncodilatador,43,4.75,204.25
P0109,2022-01-06,C032,F002,Amoxicilina,antibiótico,77,0.3,23.1
P0110,2022-07-03,C010,F004,Remdesivir,antiviral,92,400.0,36800.0
P0111,2021-09-06,C013,F005,Paracetamol,analgésico,40,0.15,6.0
P0112,2023-01-18,C023,F003,Ventolin,broncodilatador,60,4.75,285.0
P0113,2023-08-16,C073,F005,Paracetamol,analgésico,82,0.15,12.3
P0114,2024-04-25,C074,F004,Remdesivir,antiviral,69,400.0,27600.0
P0115,2022-03-10,C034,F002,Amoxicilina,antibiótico,81,0.3,24.3
P0116,2022-08-06,C049,F004,Remdesivir,antiviral,41,400.0,16400.0
P0117,2021-10-11,C091,F001,Insulina Lantus,hormona,10,22.0,220.0
P0118,2024-03-18,C055,F003,Ventolin,broncodilatador,22,4.75,104.5
P0119,2023-06-30,C167,F004,Remdesivir,antiviral,31,400.0,12400.0
P0120,2023-10-05,C089,F004,Remdesivir,antiviral,65,400.0,26000.0
P0121,2021-10-18,C159,F005,Paracetamol,analgésico,72,0.15,10.8
P0122,2023-01-11,C080,F003,Ventolin,broncodilatador,82,4.75,389.5
P0123,2024-07-18,C029,F002,Amoxicilina,antibiótico,90,0.3,27.0
P0124,2023-12-17,C130,F003,Ventolin,broncodilatador,51,4.75,242.25
P0125,2022-12-24,C026,F001,Insulina Lantus,hormona,75,22.0,1650.0
P0126,2024-11-10,C067,F004,Remdesivir,antiviral,89,400.0,35600.0
P0127,2021-12-19,C088,F001,Insulina Lantus,hormona,75,22.0,1650.0
P0128,2024-08-03,C116,F004,Remdesivir,antiviral,5,400.0,2000.0
P0129,2023-12-17,C006,F002,Amoxicilina,antibiótico,41,0.3,12.3
P0130,2023-07-26,C131,F005,Paracetamol,analgésico,1,0.15,0.15
P0131,2024-05-06,C020,F003,Ventolin,broncodilatador,149,4.75,707.75
P0132,2023-06-23,C198,F007,Metformina,antidiabético,79,0.18,14.22
P0133,2021-09-19,C133,F007,Metformina,antidiabético,62,0.18,11.16
P0134,2024-11-03,C062,F007,Metformina,antidiabético,48,0.18,8.64
P0135,2022-07-23,C048,F006,Augmentine,antibiótico,112,0.45,50.4
P0136,2022-03-21,C074,F005,Paracetamol,analgésico,95,0.15,14.25
P0137,2023-03-07,C082,F006,Augmentine,antibiótico,10,0.45,4.5
P0138,2021-05-30,C054,F001,Insulina Lantus,hormona,70,22.0,1540.0
P0139,2023-11-17,C112,F006,Augmentine,antibiótico,7,0.45,3.15
P0140,2021-07-15,C049,F003,Ventolin,broncodilatador,48,4.75,228.0
P0141,2021-07-03,C062,F006,Augmentine,antibiótico,37,0.45,16.65
P0142,2024-06-30,C109,F004,Remdesivir,antiviral,10,400.0,4000.0
P0143,2023-11-26,C003,F007,Metformina,antidiabético,82,0.18,14.76
P0144,2021-03-12,C193,F003,Ventolin,broncodilatador,125,4.75,593.75
P0145,2023-09-29,C182,F003,Ventolin,broncodilatador,23,4.75,109.25
P0146,2023-01-20,C146,F005,Paracetamol,analgésico,151,0.15,22.65
P0147,2024-10-24,C045,F002,Amoxicilina,antibiótico,69,0.3,20.7
P0148,2021-04-02,C049,F005,Paracetamol,analgésico,45,0.15,6.75
P0149,2023-03-07,C064,F001,Insulina Lantus,hormona,60,22.0,1320.0
P0150,2022-04-01,C058,F004,Remdesivir,antiviral,90,400.0,36000.0
P0151,2021-11-21,C019,F002,Amoxicilina,antibiótico,31,0.3,9.3
P0152,2021-10-16,C173,F001,Insulina Lantus,hormona,7,22.0,154.0
P0153,2022-05-11,C125,F004,Remdesivir,antiviral,63,400.0,25200.0
P0154,2024-08-28,C063,F004,Remdesivir,antiviral,12,400.0,4800.0
P0155,2021-01-29,C050,F005,Paracetamol,analgésico,95,0.15,14.25
P0156,2021-02-13,C174,F003,Ventolin,broncodilatador,54,4.75,256.5
P0157,2023-05-19,C200,F007,Metformina,antidiabético,15,0.18,2.7
P0158,2021-08-02,C159,F002,Amoxicilina,antibiótico,81,0.3,24.3
P0159,2024-11-23,C088,F001,Insulina Lantus,hormona,81,22.0,1782.0
P0160,2024-01-10,C196,F004,Remdesivir,antiviral,66,400.0,26400.0
P0161,2022-04-30,C114,F003,Ventolin,broncodilatador,90,4.75,427.5
P0162,2024-08-09,C089,F001,Insulina Lantus,hormona,72,22.0,1584.0
P0163,2024-06-24,C050,F007,Metformina,antidiabético,50,0.18,9.0
P0164,2022-09-17,C076,F001,Insulina Lantus,hormona,75,22.0,1650.0
P0165,2021-09-18,C154,F005,Paracetamol,analgésico,75,0.15,11.25
P0166,2022-12-15,C196,F002,Amoxicilina,antibiótico,39,0.3,11.7
P0167,2021-05-31,C032,F003,Ventolin,broncodilatador,133,4.75,631.75
P0168,2024-06-02,C061,F001,Insulina Lantus,hormona,78,22.0,1716.0
P0169,2021-05-30,C039,F006,Augmentine,antibiótico,94,0.45,42.3
P0170,2021-10-20,C007,F004,Remdesivir,antiviral,16,400.0,6400.0
P0171,2023-05-25,C037,F004,Remdesivir,antiviral,38,400.0,15200.0
P0172,2023-12-13,C199,F006,Augmentine,antibiótico,54,0.45,24.3
P0173,2023-11-27,C168,F005,Paracetamol,analgésico,89,0.15,13.35
P0174,2022-12-15,C080,F003,Ventolin,broncodilatador,62,4.75,294.5
P0175,2021-05-04,C190,F003,Ventolin,broncodilatador,1,4.75,4.75
P0176,2021-07-26,C030,F001,Insulina Lantus,hormona,52,22.0,1144.0
P0177,2023-03-17,C161,F004,Remdesivir,antiviral,68,400.0,27200.0
P0178,2023-10-15,C098,F004,Remdesivir,antiviral,18,400.0,7200.0
P0179,2021-05-04,C186,F001,Insulina Lantus,hormona,69,22.0,1518.0
P0180,2023-06-03,C093,F006,Augmentine,antibiótico,59,0.45,26.55
P0181,2023-02-19,C084,F003,Ventolin,broncodilatador,44,4.75,209.0
P0182,2023-11-09,C150,F001,Insulina Lantus,hormona,64,22.0,1408.0
P0183,2023-08-14,C131,F003,Ventolin,broncodilatador,1,4.75,4.75
P0184,2023-07-19,C099,F004,Remdesivir,antiviral,64,400.0,25600.0
P0185,2023-05-14,C108,F003,Ventolin,broncodilatador,48,4.75,228.0
P0186,2023-10-20,C196,F004,Remdesivir,antiviral,64,400.0,25600.0
P0187,2021-01-06,C071,F004,Remdesivir,antiviral,61,400.0,24400.0
P0188,2024-09-24,C003,F006,Augmentine,antibiótico,82,0.45,36.9
P0189,2023-03-27,C090,F004,Remdesivir,antiviral,28,400.0,11200.0
P0190,2021-03-04,C188,F004,Remdesivir,antiviral,70,400.0,28000.0
P0191,2024-08-24,C047,F004,Remdesivir,antiviral,54,400.0,21600.0
P0192,2022-08-16,C167,F004,Remdesivir,antiviral,27,400.0,10800.0
P0193,2022-02-16,C011,F007,Metformina,antidiabético,82,0.18,14.76
P0194,2022-06-12,C038,F002,Amoxicilina,antibiótico,114,0.3,34.2
P0195,2021-09-02,C078,F001,Insulina Lantus,hormona,53,22.0,1166.0
P0196,2021-08-08,C109,F003,Ventolin,broncodilatador,31,4.75,147.25
P0197,2023-09-04,C070,F001,Insulina Lantus,hormona,93,22.0,2046.0
P0198,2024-05-29,C158,F007,Metformina,antidiabético,47,0.18,8.46
P0199,2022-07-04,C113,F004,Remdesivir,antiviral,82,400.0,32800.0
P0200,2023-12-16,C083,F005,Paracetamol,analgésico,83,0.15,12.45
P0201,2021-07-31,C126,F004,Remdesivir,antiviral,70,400.0,28000.0
P0202,2023-08-26,C131,F005,Paracetamol,analgésico,11,0.15,1.65
P0203,2021-01-11,C085,F002,Amoxicilina,antibiótico,87,0.3,26.1
P0204,2022-08-29,C007,F004,Remdesivir,antiviral,14,400.0,5600.0
P0205,2022-12-09,C042,F004,Remdesivir,antiviral,116,400.0,46400.0
P0206,2022-12-26,C128,F005,Paracetamol,analgésico,121,0.15,18.15
P0207,2024-01-24,C082,F004,Remdesivir,antiviral,20,400.0,8000.0
P0208,2023-09-27,C130,F007,Metformina,antidiabético,57,0.18,10.26
P0209,2024-12-04,C141,F004,Remdesivir,antiviral,99,400.0,39600.0
P0210,2023-09-08,C033,F005,Paracetamol,analgésico,68,0.15,10.2
P0211,2023-09-13,C056,F005,Paracetamol,analgésico,15,0.15,2.25
P0212,2021-02-28,C066,F001,Insulina Lantus,hormona,54,22.0,1188.0
P0213,2021-01-24,C003,F004,Remdesivir,antiviral,111,400.0,44400.0
P0214,2021-10-30,C193,F003,Ventolin,broncodilatador,67,4.75,318.25
P0215,2023-12-07,C027,F006,Augmentine,antibiótico,64,0.45,28.8
P0216,2022-12-13,C109,F006,Augmentine,antibiótico,26,0.45,11.7
P0217,2022-11-06,C161,F007,Metformina,antidiabético,86,0.18,15.48
P0218,2024-11-29,C076,F002,Amoxicilina,antibiótico,79,0.3,23.7
P0219,2024-08-15,C196,F007,Metformina,antidiabético,62,0.18,11.16
P0220,2024-02-25,C140,F005,Paracetamol,analgésico,29,0.15,4.35
P0221,2024-04-13,C162,F002,Amoxicilina,antibiótico,12,0.3,3.6
P0222,2024-05-15,C158,F004,Remdesivir,antiviral,71,400.0,28400.0
P0223,2024-01-03,C171,F002,Amoxicilina,antibiótico,27,0.3,8.1
P0224,2021-04-04,C149,F003,Ventolin,broncodilatador,108,4.75,513.0
P0225,2022-12-30,C052,F004,Remdesivir,antiviral,40,400.0,16000.0
P0226,2021-11-21,C012,F006,Augmentine,antibiótico,69,0.45,31.05
P0227,2022-05-23,C144,F006,Augmentine,antibiótico,62,0.45,27.9
P0228,2021-03-19,C138,F006,Augmentine,antibiótico,56,0.45,25.2
P0229,2021-03-18,C070,F003,Ventolin,broncodilatador,111,4.75,527.25
P0230,2022-01-12,C111,F003,Ventolin,broncodilatador,80,4.75,380.0
P0231,2022-03-03,C039,F004,Remdesivir,antiviral,97,400.0,38800.0
P0232,2024-11-11,C166,F005,Paracetamol,analgésico,85,0.15,12.75
P0233,2024-11-23,C083,F005,Paracetamol,analgésico,69,0.15,10.35
P0234,2024-02-26,C014,F005,Paracetamol,analgésico,7,0.15,1.05
P0235,2022-11-12,C023,F005,Paracetamol,analgésico,55,0.15,8.25
P0236,2021-01-30,C109,F006,Augmentine,antibiótico,41,0.45,18.45
P0237,2022-07-23,C122,F001,Insulina Lantus,hormona,1,22.0,22.0
P0238,2022-11-24,C152,F005,Paracetamol,analgésico,81,0.15,12.15
P0239,2022-05-20,C132,F005,Paracetamol,analgésico,7,0.15,1.05
P0240,2022-03-30,C140,F005,Paracetamol,analgésico,27,0.15,4.05
P0241,2022-09-25,C174,F002,Amoxicilina,antibiótico,60,0.3,18.0
P0242,2023-08-03,C073,F002,Amoxicilina,antibiótico,108,0.3,32.4
P0243,2022-10-20,C153,F007,Metformina,antidiabético,65,0.18,11.7
P0244,2022-06-18,C062,F006,Augmentine,antibiótico,38,0.45,17.1
P0245,2021-09-07,C060,F001,Insulina Lantus,hormona,73,22.0,1606.0
P0246,2024-05-22,C057,F002,Amoxicilina,antibiótico,33,0.3,9.9
P0247,2023-04-27,C023,F002,Amoxicilina,antibiótico,33,0.3,9.9
P0248,2024-04-27,C056,F004,Remdesivir,antiviral,1,400.0,400.0
P0249,2023-01-19,C082,F007,Metformina,antidiabético,18,0.18,3.24
P0250,2022-08-21,C073,F005,Paracetamol,analgésico,86,0.15,12.9
P0251,2021-01-07,C130,F001,Insulina Lantus,hormona,41,22.0,902.0
P0252,2021-06-04,C036,F002,Amoxicilina,antibiótico,109,0.3,32.7
P0253,2024-11-29,C119,F006,Augmentine,antibiótico,85,0.45,38.25
P0254,2023-11-30,C156,F001,Insulina Lantus,hormona,6,22.0,132.0
P0255,2022-02-10,C039,F007,Metformina,antidiabético,70,0.18,12.6
P0256,2024-03-12,C128,F001,Insulina Lantus,hormona,80,22.0,1760.0
P0257,2021-11-23,C118,F006,Augmentine,antibiótico,9,0.45,4.05
P0258,2022-11-24,C168,F001,Insulina Lantus,hormona,82,22.0,1804.0
P0259,2022-09-25,C061,F006,Augmentine,antibiótico,85,0.45,38.25
P0260,2021-06-27,C023,F006,Augmentine,antibiótico,78,0.45,35.1
P0261,2022-12-30,C190,F001,Insulina Lantus,hormona,20,22.0,440.0
P0262,2023-06-30,C042,F005,Paracetamol,analgésico,90,0.15,13.5
P0263,2021-06-03,C177,F006,Augmentine,antibiótico,72,0.45,32.4
P0264,2022-12-01,C062,F003,Ventolin,broncodilatador,40,4.75,190.0
P0265,2021-02-01,C086,F003,Ventolin,broncodilatador,37,4.75,175.75
P0266,2024-12-29,C172,F003,Ventolin,broncodilatador,43,4.75,204.25
P0267,2024-02-24,C099,F002,Amoxicilina,antibiótico,55,0.3,16.5
P0268,2024-12-25,C131,F003,Ventolin,broncodilatador,21,4.75,99.75
P0269,2024-02-02,C160,F005,Paracetamol,analgésico,103,0.15,15.45
P0270,2023-02-07,C171,F005,Paracetamol,analgésico,59,0.15,8.85
P0271,2022-11-27,C102,F006,Augmentine,antibiótico,12,0.45,5.4
P0272,2023-11-07,C170,F004,Remdesivir,antiviral,9,400.0,3600.0
P0273,2023-03-15,C158,F003,Ventolin,broncodilatador,95,4.75,451.25
P0274,2023-12-18,C115,F005,Paracetamol,analgésico,68,0.15,10.2
P0275,2024-06-09,C081,F006,Augmentine,antibiótico,36,0.45,16.2
P0276,2024-05-06,C145,F003,Ventolin,broncodilatador,40,4.75,190.0
P0277,2024-10-04,C155,F002,Amoxicilina,antibiótico,108,0.3,32.4
P0278,2024-02-08,C199,F002,Amoxicilina,antibiótico,30,0.3,9.0
P0279,2023-05-30,C177,F004,Remdesivir,antiviral,66,400.0,26400.0
P0280,2023-03-27,C059,F003,Ventolin,broncodilatador,115,4.75,546.25
P0281,2023-05-12,C013,F003,Ventolin,broncodilatador,55,4.75,261.25
P0282,2024-11-11,C028,F006,Augmentine,antibiótico,3,0.45,1.35
P0283,2021-06-09,C084,F007,Metformina,antidiabético,48,0.18,8.64
P0284,2024-11-28,C076,F002,Amoxicilina,antibiótico,76,0.3,22.8
P0285,2024-10-05,C015,F007,Metformina,antidiabético,36,0.18,6.48
P0286,2023-03-25,C173,F002,Amoxicilina,antibiótico,19,0.3,5.7
P0287,2024-01-12,C002,F001,Insulina Lantus,hormona,7,22.0,154.0
P0288,2023-09-08,C158,F007,Metformina,antidiabético,72,0.18,12.96
P0289,2023-08-20,C049,F007,Metformina,antidiabético,27,0.18,4.86
P0290,2021-08-13,C155,F006,Augmentine,antibiótico,136,0.45,61.2
P0291,2022-08-24,C034,F002,Amoxicilina,antibiótico,116,0.3,34.8
P0292,2024-12-09,C131,F002,Amoxicilina,antibiótico,5,0.3,1.5
P0293,2023-02-18,C079,F006,Augmentine,antibiótico,79,0.45,35.55
P0294,2022-09-15,C077,F001,Insulina Lantus,hormona,13,22.0,286.0
P0295,2024-11-01,C162,F003,Ventolin,broncodilatador,1,4.75,4.75
P0296,2021-08-27,C016,F003,Ventolin,broncodilatador,30,4.75,142.5
P0297,2021-10-09,C137,F007,Metformina,antidiabético,28,0.18,5.04
P0298,2024-07-28,C089,F005,Paracetamol,analgésico,66,0.15,9.9
P0299,2022-07-14,C072,F006,Augmentine,antibiótico,85,0.45,38.25
P0300,2022-10-07,C063,F001,Insulina Lantus,hormona,3,22.0,66.0
P0301,2023-01-03,C061,F006,Augmentine,antibiótico,75,0.45,33.75
P0302,2021-03-21,C125,F002,Amoxicilina,antibiótico,76,0.3,22.8
P0303,2024-12-23,C018,F006,Augmentine,antibiótico,60,0.45,27.0
P0304,2023-11-06,C176,F004,Remdesivir,antiviral,127,400.0,50800.0
P0305,2021-08-23,C185,F006,Augmentine,antibiótico,124,0.45,55.8
P0306,2023-06-06,C169,F003,Ventolin,broncodilatador,6,4.75,28.5
P0307,2021-05-27,C031,F007,Metformina,antidiabético,6,0.18,1.08
P0308,2024-07-27,C149,F003,Ventolin,broncodilatador,60,4.75,285.0
P0309,2022-03-05,C160,F006,Augmentine,antibiótico,68,0.45,30.6
P0310,2021-10-06,C111,F005,Paracetamol,analgésico,87,0.15,13.05
P0311,2023-12-30,C082,F001,Insulina Lantus,hormona,17,22.0,374.0
P0312,2023-03-10,C124,F001,Insulina Lantus,hormona,44,22.0,968.0
P0313,2022-02-03,C070,F003,Ventolin,broncodilatador,92,4.75,437.0
P0314,2023-05-01,C056,F001,Insulina Lantus,hormona,7,22.0,154.0
P0315,2024-10-01,C034,F003,Ventolin,broncodilatador,76,4.75,361.0
P0316,2021-02-23,C104,F006,Augmentine,antibiótico,10,0.45,4.5
P0317,2022-09-08,C196,F006,Augmentine,antibiótico,40,0.45,18.0
P0318,2021-03-27,C097,F002,Amoxicilina,antibiótico,54,0.3,16.2
P0319,2021-09-19,C179,F004,Remdesivir,antiviral,8,400.0,3200.0
P0320,2023-07-24,C073,F004,Remdesivir,antiviral,61,400.0,24400.0
P0321,2022-01-16,C185,F003,Ventolin,broncodilatador,84,4.75,399.0
P0322,2022-07-10,C158,F005,Paracetamol,analgésico,60,0.15,9.0
P0323,2021-05-21,C042,F007,Metformina,antidiabético,80,0.18,14.4
P0324,2021-05-06,C063,F001,Insulina Lantus,hormona,15,22.0,330.0
P0325,2022-12-19,C152,F001,Insulina Lantus,hormona,92,22.0,2024.0
P0326,2021-05-10,C025,F002,Amoxicilina,antibiótico,41,0.3,12.3
P0327,2022-11-09,C056,F002,Amoxicilina,antibiótico,37,0.3,11.1
P0328,2023-02-28,C146,F001,Insulina Lantus,hormona,90,22.0,1980.0
P0329,2022-12-08,C179,F004,Remdesivir,antiviral,36,400.0,14400.0
P0330,2022-04-30,C176,F006,Augmentine,antibiótico,84,0.45,37.8
P0331,2023-06-14,C085,F002,Amoxicilina,antibiótico,128,0.3,38.4
P0332,2022-02-28,C060,F006,Augmentine,antibiótico,81,0.45,36.45
P0333,2022-05-23,C194,F004,Remdesivir,antiviral,54,400.0,21600.0
P0334,2022-11-11,C037,F004,Remdesivir,antiviral,36,400.0,14400.0
P0335,2022-09-26,C080,F006,Augmentine,antibiótico,58,0.45,26.1
P0336,2023-12-27,C015,F002,Amoxicilina,antibiótico,57,0.3,17.1
P0337,2023-04-18,C089,F002,Amoxicilina,antibiótico,67,0.3,20.1
P0338,2021-08-19,C198,F003,Ventolin,broncodilatador,68,4.75,323.0
P0339,2021-05-21,C112,F005,Paracetamol,analgésico,17,0.15,2.55
P0340,2024-02-10,C083,F001,Insulina Lantus,hormona,52,22.0,1144.0
P0341,2023-11-17,C177,F002,Amoxicilina,antibiótico,58,0.3,17.4
P0342,2021-09-27,C068,F006,Augmentine,antibiótico,81,0.45,36.45
P0343,2023-12-25,C091,F005,Paracetamol,analgésico,33,0.15,4.95
P0344,2022-09-21,C119,F001,Insulina Lantus,hormona,79,22.0,1738.0
P0345,2022-11-11,C004,F005,Paracetamol,analgésico,41,0.15,6.15
P0346,2023-06-07,C139,F003,Ventolin,broncodilatador,97,4.75,460.75
P0347,2023-07-15,C177,F001,Insulina Lantus,hormona,47,22.0,1034.0
P0348,2023-09-13,C080,F006,Augmentine,antibiótico,56,0.45,25.2
P0349,2024-01-24,C025,F002,Amoxicilina,antibiótico,29,0.3,8.7
